"date","r_f_t"
"2006m11","0.0042"
"2006m12","0.004"
"2007m1","0.0044"
"2007m2","0.0038"
"2007m3","0.0043"
"2007m4","0.0044"
"2007m5","0.0041"
"2007m6","0.004"
"2007m7","0.004"
"2007m8","0.0042"
"2007m9","0.0032"
"2007m10","0.0032"
"2007m11","0.0034"
"2007m12","0.0027"
"2008m1","0.0021"
"2008m2","0.0013"
"2008m3","0.0017"
"2008m4","0.0018"
"2008m5","0.0018"
"2008m6","0.0017"
"2008m7","0.0015"
"2008m8","0.0013"
"2008m9","0.0015"
"2008m10","0.0008"
"2008m11","0.0003"
"2008m12","0"
"2009m1","0"
"2009m2","0.0001"
"2009m3","0.0002"
"2009m4","0.0001"
"2009m5","0"
"2009m6","0.0001"
"2009m7","0.0001"
"2009m8","0.0001"
"2009m9","0.0001"
"2009m10","0"
"2009m11","0"
"2009m12","0.0001"
"2010m1","0"
"2010m2","0"
"2010m3","0.0001"
"2010m4","0.0001"
"2010m5","0.0001"
"2010m6","0.0001"
"2010m7","0.0001"
"2010m8","0.0001"
"2010m9","0.0001"
"2010m10","0.0001"
"2010m11","0.0001"
"2010m12","0.0001"
"2011m1","0.0001"
"2011m2","0.0001"
"2011m3","0.0001"
"2011m4","0"
"2011m5","0"
"2011m6","0"
"2011m7","0"
"2011m8","0.0001"
"2011m9","0"
"2011m10","0"
"2011m11","0"
"2011m12","0"
"2012m1","0"
"2012m2","0"
"2012m3","0"
"2012m4","0"
"2012m5","0.0001"
"2012m6","0"
"2012m7","0"
"2012m8","0.0001"
"2012m9","0.0001"
"2012m10","0.0001"
"2012m11","0.0001"
"2012m12","0.0001"
"2013m1","0"
"2013m2","0"
"2013m3","0"
"2013m4","0"
"2013m5","0"
"2013m6","0"
"2013m7","0"
"2013m8","0"
"2013m9","0"
"2013m10","0"
"2013m11","0"
"2013m12","0"
"2014m1","0"
"2014m2","0"
"2014m3","0"
"2014m4","0"
"2014m5","0"
"2014m6","0"
"2014m7","0"
"2014m8","0"
"2014m9","0"
"2014m10","0"
"2014m11","0"
"2014m12","0"
"2015m1","0"
"2015m2","0"
"2015m3","0"
"2015m4","0"
"2015m5","0"
"2015m6","0"
"2015m7","0"
"2015m8","0"
"2015m9","0"
"2015m10","0"
"2015m11","0"
"2015m12","0.0001"
"2016m1","0.0001"
"2016m2","0.0002"
"2016m3","0.0002"
"2016m4","0.0001"
"2016m5","0.0001"
"2016m6","0.0002"
"2016m7","0.0002"
